Challenge,Challenge Name,Box,Item,Item Name,Prob
1,"草食の群れ",1,15007,"物理防御アップⅡ",0.0178571437
1,"草食の群れ",1,15027,"インセクトハンターⅡ",0.0178571437
1,"草食の群れ",1,15037,"アクアティックハンターⅡ",0.0178571437
1,"草食の群れ",1,15047,"マシーンハンターⅡ",0.0178571437
1,"草食の群れ",1,15052,"アルスハンターⅡ",0.0178571437
1,"草食の群れ",1,15063,"フュージョンコンボ強化Ⅱ",0.0178571437
1,"草食の群れ",1,15073,"反射無効",0.0178571437
1,"草食の群れ",1,15083,"室内攻撃アップⅡ",0.0178571437
1,"草食の群れ",1,15093,"火属性ダメージ減少Ⅱ",0.0178571437
1,"草食の群れ",1,15098,"水属性ダメージ減少Ⅱ",0.0178571437
1,"草食の群れ",1,15103,"地属性ダメージ減少Ⅱ",0.0178571437
1,"草食の群れ",1,15108,"風属性ダメージ減少Ⅱ",0.0178571437
1,"草食の群れ",1,15113,"雷属性ダメージ減少Ⅱ",0.0178571437
1,"草食の群れ",1,15118,"氷属性ダメージ減少Ⅱ",0.0178571437
1,"草食の群れ",1,15123,"闇属性ダメージ減少Ⅱ",0.0178571437
1,"草食の群れ",1,15128,"光属性ダメージ減少Ⅱ",0.0178571437
1,"草食の群れ",1,15150,"集中回避Ⅱ",0.0178571437
1,"草食の群れ",1,15160,"緊急ガードⅡ",0.0178571437
1,"草食の群れ",1,15170,"高HP攻撃アップⅡ",0.0178571437
1,"草食の群れ",1,15180,"ブレイク抵抗Ⅱ",0.0178571437
1,"草食の群れ",1,15190,"ライジング抵抗Ⅱ",0.0178571437
1,"草食の群れ",1,15200,"ブロー抵抗Ⅱ",0.0178571437
1,"草食の群れ",1,15220,"ヘイト低下Ⅱ",0.0178571437
1,"草食の群れ",1,15230,"アーツヘイト低下Ⅱ",0.0178571437
1,"草食の群れ",1,15240,"アーツヒールⅡ",0.0178571437
1,"草食の群れ",1,15250,"ダメージヒールⅡ",0.0178571437
1,"草食の群れ",1,15260,"日中命中アップⅡ",0.0178571437
1,"草食の群れ",1,15270,"射撃距離アップⅡ",0.0178571437
1,"草食の群れ",1,15275,"開幕アーツⅡ",0.0178571437
1,"草食の群れ",1,15285,"支援上手Ⅱ",0.0178571437
1,"草食の群れ",1,15295,"キズナMAX攻撃Ⅱ",0.0178571437
1,"草食の群れ",1,15305,"先制キズナⅡ",0.0178571437
1,"草食の群れ",1,15315,"スイッチ短縮Ⅱ",0.0178571437
1,"草食の群れ",1,15346,"ジャミングⅡ",0.0178571437
1,"草食の群れ",1,15351,"属性玉優先破壊",0.0178571437
1,"草食の群れ",1,298,"ギアベスト (エピック)",0.0178571437
1,"草食の群れ",1,301,"スチームベルト (エピック)",0.0178571437
1,"草食の群れ",1,304,"ボルトハット (エピック)",0.0178571437
1,"草食の群れ",1,323,"スミスグローブ (エピック)",0.0178571437
1,"草食の群れ",1,325,"スプリングシューズ (エピック)",0.0178571437
1,"草食の群れ",1,327,"ゴールドギアチョーカー (エピック)",0.0178571437
1,"草食の群れ",1,331,"クラシックメダル (エピック)",0.0178571437
1,"草食の群れ",1,334,"鉄のはちまき (エピック)",0.0178571437
1,"草食の群れ",1,340,"機械化レガース (エピック)",0.0178571437
1,"草食の群れ",1,343,"剣戟の旗 (エピック)",0.0178571437
1,"草食の群れ",1,349,"見習いの腕輪 (エピック)",0.0178571437
1,"草食の群れ",1,355,"クロムマフラー (エピック)",0.0178571437
1,"草食の群れ",1,361,"ソルジャーリング (エピック)",0.0178571437
1,"草食の群れ",1,365,"アサルトストーン (エピック)",0.0178571437
